Gene,Frequency
ENG,836
Other,673
LOC102723566,256
PROS1,182
MICA,110
BLK,109
HCG22,97
HLA-X,82
C6orf15,79
HCG27,73
VARS2,66
DDR1,56
KCNJ5,55
WAS,54
IER3,50
HLA-S,48
BAT1,47
PROC,47
3.8-1.5,43
PPIAP9,40
MUC21,38
HLA-C,38
WASF5P,37
DHFRP2,36
PSORS1C1,36
PSORS1C3,35
NFKBIL1,35
HLA-DRB1,33
MICE,31
HLA-DQA2,30
HCP5,28
IFITM4P,27
HLA-DQA1,27
HLA-G,27
TNXB,24
STAT4,24
SFTA2,24
RPL15P4,24
TRIM26,23
IRF5,22
TRIM31,22
MOG,22
POU5F1,21
HCG9,21
DPCR1,20
HCG4P7,19
HCG26,18
HLA-B,17
ITGAM,17
MICB,17
ZNRD1AS,16
HCP5P14,16
TNFSF4,15
HCG2P6,15
3.8-1.2,14
RPL3P2,14
LTA,14
TNFAIP3,13
TNIP1,13
HLA-L,13
WDFY4,13
UHRF1BP1,12
NOTCH4,12
MHCclassIII,12
UBE2L3,11
SLC15A4,11
MICC,11
TNPO3,11
ETS1,11
RPL23AP1,10
IRF7,10
BANK1,10
HLA-DPA1,9
FCGR2A,9
IKZF1,9
PTPN22,9
IL12RB2,9
XXbac-BPG254F23.7,8
HLA-DQB3,8
HCG4P10,8
HLA,8
HLA-DOA,8
IRF8,8
PSMB9,8
TRIM40,8
PRDM1,8
SUMO2P1,8
HLA-DQB1,8
HLA-V,8
NCR3,8
LOC126860303,8
HCP5P12,8
FOXP1,8
MCCD1,8
UQCRHP1,8
CSNK2B,7
ZFP57,7
OR2H5P,7
TREX1,7
LBH,7
HCP5P15,7
ATG5,7
IL10,7
TBX20,7
MICD,7
RNF39,7
UBD,7
UBQLN1P1,7
HLA-DQ1,7
SLC44A4,7
JAZF1,7
NCF2,7
ATP6V1G2,7
HLA-DR3,7
PXK,7
HERPUD2,7
CD44,6
CTLA4,6
ST8SIA4,6
MIR146A,6
AKT1,6
HLA-DOB,6
PSORS1C2,6
LOC100506023,6
TYK2,6
PTPRC,6
HLA-E,6
C6orf10,6
CLEC16A,6
DEF6,6
RASGRP3,6
IRAK1,6
TAP2,6
GRB2,5
TCF7,5
PTTG1,5
HSPA1B,5
CSK,5
IL12A,5
HCG18,5
C2,5
ZFP90,5
SSBP4,5
IFIH1,5
CDSN,5
HSPA1A,5
ARID5B,5
MSH5,5
HLAregion,5
SOCS1,5
DNASE1,4
SMG7,4
ACAP1,4
RYBP,4
SHQ1,4
ATRIP-TREX1,4
KIAA1542,4
PHTF2,4
MSRA,4
FAM167A,4
CD45,4
ATRIP,4
LRRC25,4
MECP2,4
XKR6,4
SUCLA2P1,4
BACH2,4
PHRF1,4
ELF1,4
CMC1,4
TET3,4
JAK2,4
IKZF2,3
TLR7,3
LPP,3
NAB1,3
ATXN1,3
OVOL1,3
AHI1,3
FCGR2B,3
NEMP2,3
FBN2,3
C7orf72,3
TMEM86B,3
FLI1,3
PTEN,3
CDH23,3
IKZF3,3
ZNF365,3
CIITA,3
RNASEH2C,3
IL2RA,3
LYST,3
TPRG1-AS1,3
DGKQ,3
IKBKE,3
CD58,3
CCHCR1,3
SKP1,3
SH2B3,3
IL23R,3
LOC285627,3
PLCL1,3
CCL22,3
RGS1,3
DSE,3
ATXN2,3
RAD51B,3
TRAF3,3
MIR210HG,2
BC034612,2
TMEM187,2
LRRC56,2
CASC19,2
MFHAS1,2
EVI5,2
COX7BP1,2
IFNG,2
RCBTB1,2
DKFZp761E198,2
RASSF7,2
RNU2-3P,2
KLF2,2
PINX1,2
FAM86B3P,2
MTF1,2
TNKS,2
TIMMDC1,2
DDX6,2
FCRL5,2
RABGAP1L,2
ACVRL1,2
CSNK2A2,2
C8orf13,2
LINC00271,2
UBP1,2
NCOA2,2
MCTP2,2
CCDC42,2
DRAM1,2
LINC00208,2
CCR1,2
C1QTNF12,2
PRPS2,2
DOT1L,2
HLA-F,2
ESM1,2
CABP1,2
LINC01980,2
C8orf12,2
PAPOLG,2
RGS21,2
CD40,2
GPM6A,2
GTF2IRD1-GTF2I,2
NCF1,2
FCHSD2,2
AHNAK2,2
LOC284241,2
PDHX,2
PLD2,2
FAP,2
DARS,2
NOTCH2,2
CLNK,2
PPP1R10,2
FCGR2C,2
TDH,2
PKIA,2
DGUOK,2
GTF2I,2
ARHGAP15,2
GTF2H1,2
GPR19,2
ANKRD27,2
ABHD6,2
CDHR5,2
ARL11,2
RERE,2
CDKN1B,2
SLC35G5,2
FCGR3B,2
GFI1,2
RASGRP1,2
IL18RAP,2
MTMR9,2
CD80,2
ZC2HC1A,2
SNX18,2
SBNO2,2
PRNCR1,2
GTF2IRD1,2
LINC00824,2
AK057451,2
NEURL4,2
NCOA5,2
XCR1,2
LMNTD2,2
FASLG,2
ERBB2,2
SLC6A16,2
PDHB,2
CXorf21,2
FLJ10661,2
TCP11,2
PRDX6,2
SPRED2,2
UBAC2,2
CCDC113,2
PLLP,2
SERPINC1,2
C13orf31,2
KSR1,1
PGS1,1
LINC01232,1
CEBPB,1
GDF2,1
UBE2QL1,1
RP11-126K15.1,1
C10orf55,1
GABRR2,1
PRKCB,1
FYCO1,1
ETV7,1
EFNA1,1
SRD5A,1
SYT1,1
TYRO3,1
RSPH3,1
LCP1,1
ILF3,1
TERT,1
ATG16L2,1
TNIP2,1
RPL7P21,1
IRF1,1
KDM4B,1
KCNJ3,1
NMNAT2,1
ALDH1A2,1
EDEM3,1
CREBL2,1
ZNF804B,1
SLC1A7,1
FKBP15,1
DUSP22,1
LINC01185,1
COL28A1,1
NADSYN1,1
DYRK2,1
BX322557.13,1
MIR3142,1
RNU6,1
RP11-148B3.1,1
Y_RNA,1
COPS8,1
JUND,1
MYNN,1
CD226,1
C1QTNF6,1
FAM132A,1
RPS10P3,1
LYN,1
CNOT2,1
PLP1,1
LAMC2,1
SPATA8,1
LINC01094,1
BIN1,1
HAND1,1
CCR3,1
CAPSL,1
C10orf67,1
TMEM233,1
PGPEP1,1
SEC61G,1
GALC,1
MCF2L2,1
RPS20,1
TWIST2,1
SPPL3,1
CTNNA3,1
LINC01845,1
CEPT1,1
ARHGAP27,1
MTG1,1
LRRC16A,1
CNTN6,1
RP11-706F1.2,1
FAM161A,1
ILDR1,1
MIR572,1
CD28,1
STIM1,1
APOBEC4,1
CBS,1
ELF3,1
KDM4C,1
RPL7AP59,1
SIGLEC5,1
KIT,1
NEGR1,1
ERBB4,1
ZFP901,1
MROH9,1
PAPPAS,1
PARP11,1
KIAA1853,1
YDJC,1
BACE2,1
ARHGAP4,1
IL7R,1
CDH2,1
DHCR7,1
RNA5SP169,1
CDK20,1
AY927475,1
RP11-35O7.1,1
PLAT,1
NTNG2,1
IGHG1,1
RTKN2,1
CXCR5,1
ARID3A,1
SDHDP4,1
SRCAP,1
RPS2P19,1
ASB1,1
IFNGR1,1
TNFRSF13B,1
OR4A15,1
IFT80,1
C1orf146,1
CDHR3,1
ENTHD1,1
KCTD6,1
CTD-2029E14.1,1
PDCD5,1
IPCEF1,1
IL2,1
LOC100130476,1
HLA-DPB1,1
LAT2,1
GRAP2,1
STAB2,1
LOC101926943,1
PPARD1,1
PPCDC,1
BC038767,1
MDC1,1
MAGI1,1
SMAD4,1
TSEN2,1
LOC100505875,1
LOC285766,1
UBE2J2,1
WIPF1,1
PRRX1,1
APIP,1
CPSF3L,1
c10orf64,1
