Gene,Frequency
Other,248
FOXC2,4
SOX9,3
CALM2P1,3
RPL6P30,2
FLJ41200,2
GADL1,2
VHL,2
OSBPL3,2
NKAIN2,1
ERC2,1
HOXA1,1
PCBP2P3,1
CNTNAP5,1
IRS1,1
SNORA47,1
SCAPER,1
RPS3AP46,1
MRP63P6,1
INTU,1
AGBL3,1
FAT4,1
LTA4H,1
HOTAIRM1,1
RPL6P5,1
EML4,1
RNU7-2P,1
MAGEC2,1
RAPGEF2,1
C14orf147,1
HOXA-AS3,1
CCT7P2,1
RPL3P11,1
HOXA3,1
CTPS2,1
PDE8B,1
MPDZ,1
EFEMP1,1
ARHGAP24,1
C7Orf71,1
CYP27C1,1
TMEM167A,1
RNU7-31P,1
MURC,1
SKAP2,1
EGLN3,1
PRKG2,1
NETO1,1
TSN,1
PBX1,1
RPL35AP15,1
GPR176,1
HOXA5,1
PROX1,1
PKDCC,1
TRIB2,1
CCNG1,1
EBF1,1
RPS17P2,1
BFSP2,1
CYCSP42,1
COL11A1,1
HOXA2,1
HOXA4,1
KCNH8,1
SLC2A3P2,1
MAGEB17,1
RASGEF1B,1
ST13P12,1
RPL31P13,1
HEJ1,1
ST13P1,1
MRPS21P1,1
EPHA4,1
RPL23P4,1
SEMA3C,1
FAM46A,1
HOXA6,1
NOTCH3,1
BMP4,1
RPS14P7,1
WSCD1,1
GAPDHP26,1
NPAS3,1
SPANXN4,1
USP25,1
FBXO15,1
CAMK4,1
RPL17P25,1
